City,GreenAreaDensity,GasBifuel,TotalEmission,VehicleDensity,NoisePollution
Torino,7.5,122.4,147.7,5.816, 13.9
Vercelli,1.3,70.4,91.6,3.545, 2.2
Novara,1.2,92.8,117.7,3.055, 8.8
Biella,33.6,61.1,80.2,2.481, 11.5
Cuneo,6.8,72.7,98.3,2.592, 3.6
Verbania,9.5,39.9,56.5,2.759,
Asti,17.1,81.9,96.0,2.852, 24.1
Alessandria,-,84.3,101.2,2.873, 17.4
Aosta,0.4,35.6,60.9,3.764, 14.8
Imperia,1.1,28.6,47.2,2.469, 7.2
Savona,7.8,48.8,67.1,5.108, 1.7
Genova,26.3,37.7,60.7,5.797, 16.3
La Spezia,24.2,82.6,98.2,4.15, 3.2
Varese ,45.5,,,,
Como,19.4,28.4,62.8,2.406, 9.4
Lecco,20.7,35.8,61.9,3.857, 46.1
Sondrio,2.2,19.0,39.8,3.846, 9.4
Milano,..,59.6,100.4,6.506, 17.4
Monza ,22.3,,,,
Bergamo,31.5,85.2,122.8,4.153, 28.2
Brescia,38.2,124.9,155.0,3.014, 11.7
Pavia,18.7,75.3,101.0,3.487, 4.2
Lodi,35.5,80.7,103.9,4.078, 15.6
Cremona,27.5,68.7,97.7,3.574, -
Mantova ,21.3,,,,
Bolzano - Bozen ,0.2,,,,
Trento ,6.6,,,,
Verona,4.7,144.9,175.3,3.752, 18.2
Vicenza,1.7,100.8,134.2,3.131, 12.7
Belluno ,21.4,,,,
Treviso,10.4,102.9,130.6,2.53, 11.7
Venezia,62.8,107.7,131.6,1.906, 17.5
Padova,0.1,122.8,155.8,2.302, 11.0
Rovigo,0.1,188.8,208.9,2.244, 2.0
Pordenone,-,56.7,84.1,2.289, 9.7
Udine ,15.5,,,,
Gorizia,7.6,16.1,30.8,2.222, 14.8
Trieste,33.4,14.0,37.6,4.225, 1.0
Piacenza,17.7,136.9,160.0,2.866, 7.7
Parma,2.3,191.7,219.0,3.486, 7.6
Reggio nell'Emilia ,7.1,,,,
Modena,0.8,169.8,200.5,3.351, 45.8
Bologna,26.5,171.2,220.8,3.814, 18.0
Ferrara ,3,,,,
Ravenna,29,209.7,226.6,3.311, 26.7
Forlì,3.2,189.2,205.2,2.565, 29.7
Cesena,1.7,197.4,214.1,2.619, 5.2
Rimini,0.6,189.3,209.1,4.133, 16.7
Massa,34,122.3,136.5,1.931, 8.9
Lucca,10.5,110.2,128.4,1.586, 10.1
Pistoia,17.7,119.4,132.9,2.6, 24.4
Firenze ,10.9,,,,
Prato ,31.3,,,,
Livorno,17.9,81.0,96.2,3.874, 5.8
Pisa,42.9,103.8,123.5,2.84, 8.9
Arezzo,7.1,124.6,138.0,2.414, 8.2
Siena,7.8,76.7,96.1,2.734, 11.1
Grosseto,30.5,78.8,88.7,3.587, 12.2
Perugia ,16,,,,
Terni,20.7,158.3,172.2,2.976, 6.4
Pesaro,20.5,139.2,157.1,4.311, 4.2
Ancona ,25.3,,,,
Macerata,-,238.3,251.6,3.699, 2.4
Fermo,-,214.6,223.9,3.481, -
Ascoli Piceno,9.5,160.5,171.2,2.923, 2.1
Viterbo,5,72.5,86.4,4.734, 21.2
Rieti,19.2,93.3,101.5,2.522, -
Roma ,32.2,,,,
Latina,4.4,95.3,111.2,2.471, 2.4
Frosinone,..,107.2,120.1,2.111, 2.2
L'Aquila ,50.1,,,,
Teramo,3,119.5,131.9,3.809, 3.8
Pescara ,1.8,,,,
Chieti,-,101.1,113.9,2.979, 10.1
Isernia,19.7,56.0,61.8,5.932, -
Campobasso,3.7,103.5,112.4,4.748, 16.7
Caserta,8.7,112.4,124.5,3.2, 6.8
Benevento,-,105.5,112.3,4.14, 1.7
Napoli ,24.1,,,,
Avellino,-,124.3,134.0,4.054, 5.7
Salerno,0,112.3,123.4,5.241, 7.7
Foggia,3.7,122.3,130.2,6.532, -
Andria,36.1,47.7,53.9,7.046, 3.1
Barletta,29.3,48.8,58.3,6.146, -
Trani,-,68.1,75.7,5.262, 1.8
Bari,1.9,105.6,117.3,4.051, 5.4
Taranto,8.5,77.0,83.3,3.27, 1.6
Brindisi,10.6,88.0,95.1,4.084, -
Lecce,12.8,105.6,114.3,2.431, 5.3
Potenza,0.9,85.6,94.0,2.525, 10.6
Matera ,25,,,,
Cosenza,-,39.1,46.1,4.723, -
Crotone,14.1,45.6,53.9,2.493, 3.3
Catanzaro,-,46.1,56.4,2.826, 4.6
Vibo Valentia,0.1,32.0,37.4,2.381, 6.3
Reggio di Calabria,17.5,36.0,43.9,2.573, 10.3
Trapani,5.1,35.1,43.5,2.807, -
Palermo,29.4,69.8,78.5,6.501, 41.9
Messina,70.6,34.6,41.6,4.616, 184.5
Agrigento,5.3,30.8,37.8,3.21,…
Caltanissetta,4.4,35.3,40.2,3.856, 1.7
Enna,13.7,25.0,29.8,4.066, -
Catania,15,48.0,54.7,5.424, 4.7
Ragusa,6.5,51.4,65.5,3.059, 11.1
Siracusa,5.7,43.0,54.1,3.854, 0.8
Sassari,2.6,29.3,39.8,2.728, 13.7
Nuoro,11.2,22.3,36.0,4.291, 2.9
Oristano,2.4,25.2,34.1,3.483, 6.5
Cagliari,51.9,23.7,39.0,4.945, 16.0
Carbonia,-,27.4,32.7,2.703, 11.2
Italia  ,16.6,,,,
Varese,,22.6,66.0,2.462, 2.5
Monza,,56.9,89.5,5.268, 12.9
Mantova,,98.9,120.4,3.606, 10.2
Bolzano/Bozen,,42.2,71.8,7.037,
Trento,,57.9,87.4,3.792, 15.0
Belluno,,43.3,65.7,2.292, -
Udine,,35.4,61.0,1.789, 17.1
Reggio nell'Emilia,,205.9,232.0,2.756, 3.5
Ferrara,,185.7,209.3,2.061, 11.3
Firenze,,83.7,108.1,4.864, 36.4
Prato,,85.1,104.0,3.624, 15.2
Perugia,,124.3,143.2,2.396, 3.0
Ancona,,205.3,224.4,3.629, 15.1
Roma,,93.2,122.5,4.54, 5.0
L'Aquila,,86.4,98.1,1.996, 1.4
Pescara,,100.2,114.6,3.88, 19.3
Napoli,,117.2,122.5,7.354, 5.8
Matera,,81.2,93.6,5.817, -
,,,,,
,,,,,
,,,,,
Nord (*) ,,102.7,131.8,3.695,
Nord-ovest (*),,75.1,104.8,4.532,
Nord-est (*),,137.4,165.7,2.986,
Centro (*),,102.6,126.2,3.686,
Mezzogiorno (*) ,,75.1,83.6,4.347,
Sud (*),,93.3,101.6,4.207,
Isole (*),,47.0,55.9,4.571,
Capoluoghi di città metropolitana,,87.0,110.7,4.998,
Capoluoghi di provincia (*),,101.3,120.1,3.197,
Italia (*),,94.2,115.4,3.905,
Verbania ,,,,, 89.6
Bolzano - Bozen,,,,, 29.7
Italia (a) ,,,,, 14.4
